sku,name,lang,type,path,version,updated,status
SPK-DOC-PGO-DKR-ZH-001,PGOBA Docker 编译,ZH,文档页,docs/zh/pgoba/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-ARC-ZH-001,PGOBA 源码架构,ZH,文档页,docs/zh/pgoba/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-IDX-EN-001,PGOBA 模块索引,EN,文档页,docs/en/pgoba/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-CLI-EN-001,PGOBA 命令行使用,EN,文档页,docs/en/pgoba/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-DKR-EN-001,PGOBA Docker 编译,EN,文档页,docs/en/pgoba/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-ARC-EN-001,PGOBA 源码架构,EN,文档页,docs/en/pgoba/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-IDX-ZH-001,PCL 模块索引,ZH,文档页,docs/zh/pcl/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-CLI-ZH-001,PCL 命令行使用,ZH,文档页,docs/zh/pcl/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-DKR-ZH-001,PCL Docker 编译,ZH,文档页,docs/zh/pcl/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-ARC-ZH-001,PCL 源码架构,ZH,文档页,docs/zh/pcl/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-IDX-EN-001,PCL 模块索引,EN,文档页,docs/en/pcl/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-CLI-EN-001,PCL 命令行使用,EN,文档页,docs/en/pcl/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-DKR-EN-001,PCL Docker 编译,EN,文档页,docs/en/pcl/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PCL-ARC-EN-001,PCL 源码架构,EN,文档页,docs/en/pcl/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-IDX-ZH-001,preprocess 模块索引,ZH,文档页,docs/zh/preprocess/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-CLI-ZH-001,preprocess 命令行使用,ZH,文档页,docs/zh/preprocess/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-DKR-ZH-001,preprocess Docker 编译,ZH,文档页,docs/zh/preprocess/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-ARC-ZH-001,preprocess 源码架构,ZH,文档页,docs/zh/preprocess/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-IDX-EN-001,preprocess 模块索引,EN,文档页,docs/en/preprocess/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-CLI-EN-001,preprocess 命令行使用,EN,文档页,docs/en/preprocess/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-DKR-EN-001,preprocess Docker 编译,EN,文档页,docs/en/preprocess/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-PRE-ARC-EN-001,preprocess 源码架构,EN,文档页,docs/en/preprocess/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-IDX-ZH-001,配套驱动模块索引,ZH,文档页,docs/zh/driver-livox/index.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-CLI-ZH-001,配套驱动命令行使用,ZH,文档页,docs/zh/driver-livox/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-DKR-ZH-001,配套驱动 Docker 编译,ZH,文档页,docs/zh/driver-livox/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-ARC-ZH-001,配套驱动源码架构,ZH,文档页,docs/zh/driver-livox/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-IDX-EN-001,配套驱动模块索引,EN,文档页,docs/en/driver-livox/index.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-CLI-EN-001,配套驱动命令行使用,EN,文档页,docs/en/driver-livox/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-DKR-EN-001,配套驱动 Docker 编译,EN,文档页,docs/en/driver-livox/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-DRV-ARC-EN-001,配套驱动源码架构,EN,文档页,docs/en/driver-livox/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-APP-PEN-ZH-001,待确认事项清单,ZH,文档页,docs/zh/appendix/pending-items.md,1.0.0,2026-09-11,在库
SPK-DOC-APP-PRM-ZH-001,提示词版本,ZH,文档页,docs/zh/appendix/prompt-version.md,1.0.0,2026-09-11,在库
SPK-DOC-APP-PEN-EN-001,待确认事项清单,EN,文档页,docs/en/appendix/pending-items.md,1.0.0,2026-09-11,在库
SPK-DOC-APP-PRM-EN-001,提示词版本,EN,文档页,docs/en/appendix/prompt-version.md,1.0.0,2026-09-11,在库
